url,category,article
https://www.foxnews.com//politics/hunter-biden-no-recollection-encounter-arkansas-child,politics,"In his forthcoming memoir ""Beautiful Things,""   writes he ""has no recollection"" of an encounter with an ex-stripper from   who gave birth to their child in 2018.  The recovering addict and the son of   in the book details his struggles with drugs, particularly in the wake of the death of his older brother Beau in 2015. Fox News obtained a copy in advance of its publication. During what Hunter describes as ""more than four years of active addiction"" with intermittent failed attempts to get clean, he fathered a child with a stripper who worked at a Washington, D.C., club at the time.  The younger Biden mentioned the woman and her child as he was explaining in his book that he'd had very little in the way of meaningful romantic relationships for most of his adult life.  ""It was my first actual date in 26 years,"" Hunter said of a blind date with a woman named Kathleen, who he would later marry. ""My relationship with [Beau's widow] Hallie belonged to a whole other category, and the other women I'd been with during rampages since my divorce were hardly the dating type. We'd satisfy our immediate needs and little else."" He added: ""I'm not proud of it. It's why I would later challenge in court the woman from Arkansas who had a baby in 2018 and claimed the child was mine -- I had no recollection of our encounter. That's how little connection I had with anyone. I was a mess, but a mess I've taken responsibility for.""  That Biden was the father of this child was more than a claim by the mother.  Independence County, Ark., Circuit Judge Holly Meyer   The order said that DNA tests made that fact clear.  ""[T]he results of the DNA tests indicate with near scientific certainty that the defendant is the biological father of the child in this case,"" the order said.  Biden remembering little has become a recurring theme as he promotes his book.  In multiple interviews with CBS that aired on Sunday and Monday, Hunter claimed that he had ""no idea"" whether the laptop first reported on last fall by the New York Post as containing damning information about his business affairs was his.  ""Of course, certainly,"" the president's son said when asked whether the laptop ""could"" be his. But, he added, ""It could be that I was hacked. It could be that it was Russian intelligence. It could be that it was stolen from me."" CBS also asked Biden whether he dropped the laptop off at a repair shop in Delaware, where it was found.  ""No. Not that I remember at all. At all,"" he said. ""So, we'll see."""
https://www.foxnews.com//politics/supreme-court-dismisses-trump-twitter-case-moot,politics,"The   on Monday deemed former President  's appeal of a ruling that said it was unconstitutional for him to block critics moot, after a lower court considered his page to be a protected public forum The court called for the case to be dismissed, as Trump is no longer in office and Twitter has blocked him from the platform. Justice Clarence Thomas agreed with the decision in light of Trump no longer being president, but the conservative jurist illustrated the complexity of the matter given that Trump ultimately did not have full control over his own account. ""[I]t seems rather odd to say that something is a government forum when a private company has unrestricted authority to do away with it,"" Thomas wrote in a concurring opinion.  The Second Circuit Court of Appeals had ruled against Trump, claiming that as president, he used his Twitter account to discuss political matters and therefore the interactive participation of commenting on his tweets was considered a public forum protected by the First Amendment. Blocking those who criticized him, therefore, was unconstitutional viewpoint discrimination, they had ruled. Thomas noted that while Trump had the power to block other users, Twitter was then able to block ""all Twitter users from interacting with his messages"" by banning his account altogether. ""Because unbridled control of the account resided in the hands of a private party, First Amendment doctrine may not have applied to respondents’ complaint of stifled speech,"" Thomas pointed out, stating that ""[w]hether governmental use of private space implicates the First Amendment often depends on the government’s control over that space."" Thomas acknowledged how modern technology is not always easily addressed by existing legal doctires, and warned that the Supreme Court ""will soon have no choice but to address how our legal doctrines apply to highly concentrated, privately owned information infrastructure such as digital platforms."" With that in mind, he cautioned that the power wielded by social media giants like Twitter poses its own issues. ""The Second Circuit feared that then-President Trump cut off speech by using the features that Twitter made available to him,"" Thomas said. ""But if the aim is to ensure that speech is not smothered, then the more glaring concern must perforce be the dominant digital platforms themselves. As Twitter made clear, the right to cut off speech lies most powerfully in the hands of private digital platforms. The extent to which that power matters for purposes of the First Amendment and the extent to which that power could lawfully be modified raise interesting and important questions."""
https://www.foxnews.com//politics/biden-cancel-student-debt-50000-progressive-pressure,politics,"Progressives are ramping up the pressure on   to forgive student debt relief as   Secretary Miguel Cardona investigates the administration's legal authority to cancel some of the $1.7 trillion in student loan debt. ""We gotta continue pushing for this until it happens. Thankful to our co-conspirators @AyannaPressley @SenSchumer and @ewarren for their efforts,"" Rep. Ilhan Omar, D-Minn., wrote on Twitter on Saturday.  ""Canceling student loan debt is a matter of racial, economic, and generational justice. Rep. Pressley,  Massachusetts Attorney General Maura] Healey and I are urging President Biden to act. #CancelStudentDebt,"" Sen. Elizabeth Warren, D-Mass.,   last week after holding a press conference on the issue. ""President Biden can cancel up to $50,000 of student loan debt for the American people with the stroke of a pen. Let’s make it happen. #CancelStudentDebt,"" Rep. Ro Khanna, D-Calif., wrote on  . Even Senate Majority Leader  , D-N.Y., joined in. ""Today would be a great day for President Biden and Vice President Harris to #CancelStudentDebt,"" Schumer wrote on   on Saturday. The   said Biden does not support debt relief above $10,000 for all borrowers. ""The president does not favor $50,000 in student loan relief without limitation,"" a White House spokesperson told Fox News last week.  Any debt relief above $10,000 would have to be targeted, ""based on the borrower’s income, based on the kind of debt in question,"" the White House said.  White House chief of staff   Thursday that Cardona is preparing a report for the president on his legal authority to cancel student debt.  ""He asked his secretary of  , who’s just been on the job a few weeks, once he got on the job to have his department prepare a memo on the president’s legal authority, and hopefully we’ll see that in the next few weeks,"" Klain told Politico. ""And then he’ll look at that legal authority, he’ll look at the policy issues around that, and he’ll make a decision."" The president campaigned on canceling up to $10,000 in student debt per borrower, but Democrats pushed him to raise that number to $50,000 in a   in February. The NAACP is one of the most recognizable groups teaming up with progressives to push for student debt cancellation.  However, the plan may disproportionately benefit wealthy Americans, according to   by the University of Chicago’s Becker Friedman Institute for Economics. The study showed that erasing all student loan debt would distribute $192 billion to the top 20% of earners in the U.S., but just $29 billion to the bottom 20% of U.S. households. Under a universal loan forgiveness program, the average individual among the top-earning borrowers would receive $5,944 in forgiveness, while those with the lowest incomes would receive $1,070 in forgiveness, according to the study."
https://www.foxnews.com//politics/biden-admin-iran-nuclear-john-hannah-foreign-policy,politics,"The former national security advisor to Vice President Cheney, John Hannah, said that the   administration is ""hell-bent"" on rejoining the   during a Monday appearance on  ,"" arguing that it poses ""great danger"" to the Middle East.  JOHN HANNAH:"
https://www.foxnews.com//politics/gop-seeks-to-pull-back-curtain-on-biden-tax-shelter-hypocrisy,politics,"While recently touting his infrastructure plan, President     ""the wealthiest 1% of Americans saw their net worth increase by $4 trillion,"" he then ripped loopholes and deductions corporations used to dodge taxes. But a   from the leader of a House conservative caucus regarding Biden’s own tax loopholes could foreshadow what Republicans will include in their oversight agenda should they flip the House of Representatives in 2022. ""House Democrats used their oversight power to subpoena Trump for his tax returns, but they’ve completely ignored Joe Biden’s abuse of our tax code,"" Republican Study Committee Chairman Rep. Jim Banks, R-Ind., told Fox News. ""When we take back the House in 2022, Oversight [Committee] Republicans won’t forget about Biden’s legally dubious tax avoidance schemes."" As a private citizen in 2017, 2018 and 2019, Biden and first lady Jill Biden routed $13 million in income through two S-corporations – CelticCapri Corporation and the Giacoppa Corporation – to avoid paying taxes that help fund Medicare and the Affordable Care Act (ACA), better known as ObamaCare. While entirely legal, Biden has advocated eliminating such loopholes, while also promoting the expansion of both Medicare and ObamaCare. The Banks letter to Biden asked, ""Do you intend to undo your hypocrisy and pay these taxes back to the American people?"" ""Press reports indicate that you both directed revenue from book royalties and speaking appearance fees into these two corporations avoiding self-employment payroll tax liabilities that would have flowed to America’s Medicare program that provides care to over 60 million seniors,"" reads the letter, dated March 25. In the minority, congressional Republicans – many of whom have called for oversight of Biden’s handling of the border crisis or of potential conflicts of interest regarding his son Hunter Biden’s overseas business – lack the authority to compel Biden or his administration to provide information on any matter. But, as Americans witnessed during the previous administration, the issues Democrats continuously talked about in 2017 and 2018 – including President Trump’s taxes – became fodder for investigative hearings after Democrats held a House majority beginning in 2019. The Biden tax savings demonstrate ""Democrat hypocrisy is limitless,"" Banks said, contrasting this with both the president’s public policies and the working-class image Biden cultivated throughout his political career. ""The ACA imposed higher taxes on millions of Americans, but not Joe Biden. He paid $121,000 less in ObamaCare taxes thanks to an obscure tax loophole. Talk about inside baseball,"" Banks told Fox News. ""Joe Biden advocated for expanding Medicare, and is pushing to close tax loopholes and for a $3 trillion tax hike. At the same time, ‘Amtrak Joe’ made $13 million through speaking fees in just three years, then skimped over $500,000 from Medicare recipients through tax loopholes."" The Wall Street Journal   the first couple’s tax move in July that saved them as much as $500,000. The newspaper said the Bidens avoided paying 3.8% in Medicare payroll taxes by moving book royalties and speaking-related income into an S-corporation. An  , under IRS rules, is a partnership with fewer than 100 shareholders. The company may pass income directly to shareholders to avoid double taxation. Combined, CelticCapri Corp. and Giacoppa Corp. reported profits of more than $13 million for 2017 and 2018, the Journal reported, not subject to self-employment taxes. The companies paid the Bidens less than $800,000 in salaries. ""Your hypocrisy is highlighted by the fact that Medicare faces significant funding shortfalls,"" the Banks letter from last week says. ""Just this year, the Congressional Budget Office estimated its Hospital Insurance Trust Fund will face insolvency in the middle of Fiscal Year 2026—roughly five years from now."" ""Moreover, during the presidential campaign, you said ‘ObamaCare is personal to me,’"" the letter adds. ""And your administration has sought to expand ObamaCare wherever possible. Yet, you and your wife avoided paying $121,000 in Obamacare payroll taxes."" The White House did not respond to an inquiry from Fox News on this matter. But in July, the Biden campaign told the Journal, ""As demonstrated by their effective federal tax rate in 2017 and 2018—which exceeded 33 percent—the Bidens are committed to ensuring that all Americans pay their fair share."" Notably, this information came to light because the Bidens released their tax returns, which Trump never did — prompting Democratic investigations. Biden has a history of calling for high-income Americans to pay more in taxes. When running for vice president on a Democratic ticket with Barack Obama in 2008, Biden told CBS News’ Kate Snow in an interview that those earning more than $250,000 should ""pay more,""  ""It's time to be patriotic, Kate, time to jump in, time to be part of the deal, time to help get America out of the rut."" During his 2020 Democratic National Convention acceptance speech in August, Biden called for ""ending loopholes"" for the wealthy. ""Because we don't need a tax code that rewards wealth more than it rewards work. I’m not looking to punish anyone,""   in the acceptance speech. ""Far from it. But it's long past time the wealthiest people and the biggest corporations in this country paid their fair share."""
https://www.foxnews.com//food-drink/ohio-restaurant-1g-tip-chaotic-night,politics,"Despite a particularly challenging night, a Mexican   in Ohio still received support -- and a   -- from its loyal customers.  On Sunday, The Battleground in Kent,  , apologized to customers in a Facebook post for a less-than-stellar   at the restaurant on Saturday night.  ""We have had better days than last Saturday @ Battleground,""  . ""If you were one of the people who were there on Saturday, there is a good chance that you waited a long time for your food or drinks, had your takeout order mishandled, or couldn’t get a seat at all. For that we are deeply sorry and please don’t write us off just yet."" According to the post, The Battleground had long wait times for tables, low staff and disgruntled customers, including some who had to wait for an hour to be served. In a word, the restaurant described the night as ""chaos."" ""But what we will remember from that evening is not the misery, but the tremendous kindness and patience shown by the people who were there during the chaos,"" The Battleground wrote. ""The empathy of our regular customers who believe in what we are trying to do. The generosity and encouragement of customers who had never been here before and saw that we were struggling.""   The restaurant went on to say that by the end of the night, there was just one couple left, who had ""essentially spent the entire evening"" at The Battleground because of how long it took for them to get their drinks and food. ""They asked if we could gather the staff and if they could talk to us,"" the restaurant wrote. ""The gentleman, a local small business owner, looked at our understaffed and exhausted team and encouraged them to keep working, not to give up. Then he gave the servers and kitchen staff a $1,000 tip.""   According to the  , the tip was split among four servers and two cooks. The couple, who chose to remain anonymous, told the newspaper that they wanted to let the restaurant staff know they ""understood how difficult the evening was."" ""There were just so many emotions that night, and this was the cherry on top,"" Rosi Noden, The Battleground’s co-owner and manager, told the Record-Courier. ""I didn’t know what to do; I didn’t know what to say. Their server, he didn’t know what to say."" The Battleground ended its Facebook post by apologizing again for the night and thanking its loyal customers for their encouragement. ""If you got bad service on Saturday, we are truly sorry,"" The Battleground wrote. ""Come back. We promise we will do better. If you are already a part of our community, we appreciate your support."" According to the Facebook post, the restaurant opened just six weeks before the   pandemic hit the U.S. last year. Co-owner Kirk Noden told the Record-Courier that The Battleground has reopened three times since its original opening because of the pandemic."
https://www.foxnews.com//us/coinstar-fixes-georgia-mans-oily-penny-paycheck-problem,politics,"A   man that was shocked to find the amount of his final paycheck in the form of   dumped in his driveway last month is getting some help from coin-counting company Coinstar.  Fayetteville's Andreas Flaten had quit his   at Peachtree City's A OK Walker Luxury   in November and was having some trouble getting his last paycheck from his former employer. Although he had reportedly been promised his   would be paid to him in January, the check never arrived and Flaten said his former boss accused him of  . Flaten, who had gone so far as to call Georgia's Department of Labor for assistance, was surprised when he discovered more than 91,000   in front of his house.  An envelope resting on top of the pile contained his final pay stub and was addressed with an explicit message: ""F--- you!"" Since then, Flaten has spent nights cleaning the pennies, which   said sat in a wheelbarrow in his garage.  Flaten and his girlfriend had previously refused to comment to Fox News, saying they were focusing on getting a ""real payment"" for Flaten's final check. Coinstar took up the mantle and picked up the more than 500 pounds of pennies from Flaten on Thursday. The company pointed Fox News   in which it wrote that it also rounded up Flaten's paycheck to $1,000.  ""When we heard about Mr. Flaten’s penny problem, we were happy to offer our assistance,"" said Coinstar CEO Jim Gaherity. ""Coinstar has been in the coin business for 30 years and we process approximately 41 billion coins annually – so picking up 91,000 pennies was all in a day’s work."" ""I was spending an hour or two a night trying to clean the pennies and probably only cleaned off about $5 worth,"" Flaten told Coinstar. ""I was so relieved and grateful that Coinstar agreed to help me."" In addition, company executives announced that they would match Flaten's penny value and donate $1,000 to local charities of his choosing. Flaten named two     to receive the donations. ""I gave the money to Royal Animal Refuge and TLC Pet Rescue. One saved my dog and one saved my mother's dog,"" Flaten told Fox News in an email on Friday. Now that his nights are free, he plans on spending time with his family. "
https://www.foxnews.com//politics/soros-biden-spending-plan-open-society-foundations,politics,"Billionaire   Open Society Foundations are pouring as much as $100 million into promoting   spending initiatives. The campaign will start with a $20 million investment in grassroots organizing, according to  . ""Facts don't always win without some real muscle put behind getting those facts in front of the American people,"" said former Rep. Tom Perriello, who serves as executive director of Open Society-U.S. A   determined that less than half of the $2.2 trillion Biden's infraestructure package announced last week would go toward items traditionally defined as infrastructure. The package includes ""$115 billion to modernize the bridges, highways, roads, and main streets that are in most critical need of repair.""  The sweeping proposal faces a tough haul in the Senate where Democrats and their independent allies are tied with Republicans -- each holding 50 seats. Meanwhile, Senate Minority Leader Mitch McConnell, R-Ky., has already committed to fighting the president ""every step of the way."" Other investments included $35 billion for climate change-related research and development, $400 billion for home-based care for the elderly and disabled, and $174 billion on electric vehicles. ""It would spend more money just on electric cars than on America's roads, bridges, ports, airports, and waterways combined,"" said McConnell."
https://www.foxnews.com//politics/biden-spending-bill-pelosi-tesla-husband,politics,"House Speaker Nancy Pelosi, D-Calif., is positioned to potentially personally benefit from President Biden’s $2 trillion spending bill – and here's how she could do it. Biden last week announced his grandiose spending bill, which reserves $174 billion as subsidies for electric vehicles, charging stations and similar policies. Now, here's where Pelosi comes into play. Back in December, Pelosi’s husband, Paul Pelosi,   between half a million and $1 million in the famous electric car company Tesla, financial disclosures show.  Due to the massive electric car subsidies proposed in Biden’s infrastructure plan, Tesla is poised to be a big winner from Biden’s plan should it go through. And, due to her husband’s massive investment, Pelosi could personally, financially benefit as Tesla grows from the subsidies, as the Free Beacon   Friday.  Congressional spouses are legally allowed to invest in firms that their lawmaker husbands and wives work to regulate. However, the non-lawmaker spouse cannot act on information given to them by their congressional consort. Pelosi's deputy chief of staff Drew Hammill told Fox News that the speaker did not have any involvement with the purchases nor ""prior knowledge"" of them. ""If you read the disclosure here, you will see that under the 'Owner' column each is marked SP for spouse,"" said Hammill. ""The speaker has no involvement or prior knowledge of these transactions."" Torunn Sinclair, National Republican Congressional Committee national press secretary, called Pelosi’s potential profit ""yet another example"" of the speaker ""using her power to tax the middle class and personally profit from it."" Senate Republican Leader Mitch McConnell, R-Ky., vowed that Senate Republicans would fight the infrastructure plan ""every step of the way."" Biden’s infrastructure bill has come under fire from critics on both sides of the aisle. McConnell pointed out that less than ""6%"" of the money in the infrastructure proposal actually goes to ""roads and bridges.""  ""It would spend more money just on electric cars than on America’s roads, bridges, ports, airports and waterways combined,"" the Republican senator said."
https://www.foxnews.com//politics/kamala-harris-no-press-conference-border-crisis,politics,"Vice President   was tasked last month with leading efforts to address migration to the  , where the nation is facing what's been described as a ""humanitarian crisis"" amid a surge in migrants coming to the U.S. Her assigned efforts on immigration, which include overseeing diplomatic efforts with Northern Triangle countries, fit into a broader trend of the administration delegating substantial foreign policy responsibilities to her. For example, she has held calls with major world leaders like Canadian Prime Minister   and Israel's  . Since the beginning of the administration and a week after Biden's announcement, Harris has fielded questions from the media but has yet to hold a formal news conference. Meanwhile, the border crisis captivated the nation's attention and raised a series of concerns about national security and the stability of the U.S. immigration system as a whole. When Biden initially announced her appointment, he said she would be in charge of working to return migrants to their home countries. ""So this new surge we're dealing with now started with the last administration, but it's our responsibility to deal with it humanely and to – and to stop what's happening,"" Biden said month. ""And so, this increase has been consequential, but the vice president has agreed – among the multiple other things that I have her leading – and I appreciate it – agreed to lead our diplomatic effort and work with those nations to accept re- – the returnees, and enhance migration enforcement at their borders – at their borders."" The White House later attempted to claim that Harris wasn't involved with the ""border crisis,"" but was instead focused on addressing the ""root causes – not the border."" Regardless, returnees include individuals who make contact with U.S. authorities at the southern border, as well as others who are returned while traveling through other countries. The overwhelming flow of migrants has led to the viral photos of individuals packed into close quarters despite coronavirus restrictions, raising questions about two of the Biden-Harris' campaigns central attacks on President Trump. During the campaign, Biden lambasted Trump for not taking COVID-19 seriously and assailed his purported cruelty in placing migrant children in cages. The border crisis itself encompasses a long list of issues and agencies througout the federal government, particularly those housed under the Department of Homeland Security and the Department of Health and Human Services. According to Harris' office, she'll work closely with various Cabinet members, including the secretary of state and the administrator for international development, as well as the special envoy for the Northern Triangle. "
